RI
"235,50"
"925,81"
"614,25"
"580,65"
"217,17"
"204,19"
"445,49"
"789,12"
"567,67"
"196,55"
"517,27"
"471,46"
"554,69"
"531,78"
"305,75"
"524,15"
"892,97"
"381,35"
"231,68"
"253,06"
"540,18"
"361,49"
"397,38"
"490,55"
"888,39"
"780,72"
"802,10"
"196,55"
"628,00"
"743,30"
"560,80"
"319,50"
"970,86"
"234,73"
"279,79"
"636,40"
"702,07"
"858,61"
"665,42"
"448,55"
"242,37"
"704,36"
"434,80"
"718,11"
"677,63"
"838,76"
"575,31"
"243,90"
"663,12"
"518,04"
"492,84"
"590,58"
"141,57"
"785,30"
"544,00"
"298,11"
"279,02"
"708,18"
"795,23"
"375,24"
"156,84"
"524,15"
"103,39"
"263,75"
"448,55"
"569,20"
"555,45"
"607,38"
"185,10"
"488,26"
"299,64"
"224,04"
"604,33"
"378,29"
"178,23"
"406,55"
"653,20"
"424,11"
"435,57"
"226,33"
"714,29"
"779,19"
"899,08"
"174,41"
"294,30"
"825,01"
"52,23"
"556,98"
"554,69"
"406,55"
"696,72"
"668,47"
"452,37"
"602,80"
"187,39"
"272,15"
"615,02"
"-5,81"
"262,22"
"779,96"
"512,69"
"500,47"
"677,63"
"796,76"
"560,04"
"593,63"
"257,64"
"169,83"
"201,13"
"433,27"
"353,09"
"221,75"
"333,24"
"595,93"
"425,64"
"345,46"
"343,93"
"143,86"
"481,38"
"376,00"
"435,57"
"295,82"
"301,93"
"689,85"
"602,03"
"370,66"
"189,68"
"519,56"
"731,09"
"5,65"
"387,46"
"724,98"
"847,16"
"817,38"
"586,00"
"421,82"
"756,29"
"144,63"
"409,60"
"254,59"
"426,40"
"187,39"
"793,70"
"683,74"
"472,22"
"715,05"
"485,20"
"511,16"
"182,04"
"295,82"
"496,66"
"834,18"
"521,85"
"676,87"
"47,65"
"334,00"
"488,26"
"253,82"
"259,17"
"850,97"
"611,96"
"511,16"
"598,22"
"406,55"
"676,11"
"672,29"
"611,96"
"200,37"
"211,82"
"208,77"
"288,19"
"103,39"
"534,84"
"536,36"
"212,59"
"879,99"
"737,20"
"589,82"
"147,68"
"742,54"
"510,40"
"367,60"
"741,01"
"604,33"
"698,25"
"450,84"
"673,82"
"944,90"
"683,74"
"692,91"
"364,55"
"856,32"
"552,40"
"286,66"
"357,68"
"479,86"
"667,71"
"657,78"
"591,34"
"858,61"
"781,49"
"719,63"
"650,91"
"708,94"
"580,65"
"296,59"
"421,06"
"887,63"
"558,51"
"717,34"
"216,41"
"904,43"
"673,05"
"531,78"
"547,82"
"361,49"
"741,78"
"573,78"
"478,33"
"456,18"
"921,99"
"692,91"
"291,24"
"918,94"
"486,73"
"702,07"
"693,67"
"721,16"
"741,01"
"556,98"
"728,03"
"553,93"
"392,04"
"849,45"
"590,58"
"222,52"
"339,35"
"261,46"
"777,67"
"389,75"
"818,14"
"837,99"
"868,54"
"560,80"
"286,66"
"875,41"
"867,01"
"624,18"
"485,20"
"668,47"
"882,28"
"723,45"
"361,49"
"469,93"
"958,65"
"269,10"
"566,91"
"498,18"
"594,40"
"499,71"
"794,47"
"660,07"
"556,98"
"678,40"
"658,54"
"441,67"
"667,71"
"405,02"
"573,78"
"651,67"
"314,91"
"634,87"
"598,22"
"700,54"
"602,03"
"627,23"
"520,33"
"930,39"
"735,67"
"532,55"
"588,29"
"744,07"
"551,64"
"140,04"
"490,55"
"395,09"
"586,76"
"823,48"
"220,22"
"505,06"
"188,92"
"128,59"
"449,31"
"275,21"
"406,55"
"662,36"
"647,85"
"716,58"
"519,56"
"10,23"
"514,98"
"290,48"
"328,66"
"249,24"
"728,80"
"989,95"
"606,62"
"416,48"
"448,55"
"828,07"
"286,66"
"275,21"
"308,04"
"530,25"
"226,33"
"548,58"
"253,82"
"754,76"
"798,29"
"441,67"
"476,04"
"863,96"
"98,05"
"20,92"
"449,31"
